repository_version,repository_name,repository_path,evidence,class,live_candidates,replay_risk_summary
20260705001400,platform_visibility_actual_surface_state,supabase/migrations/20260705001400_platform_visibility_actual_surface_state.sql,RP,BS,20260706074234:make_platform_visibility_reflect_actual_surface_state,Critical: shared version
20260705001400,primary_ecosystem_cta_only,supabase/migrations/20260705001400_primary_ecosystem_cta_only.sql,RP,BS,20260706062250:restrict_primary_ecosystem_cta_destinations,Critical: unrelated shared version
20260705001500,partner_test_record_boundary,supabase/migrations/20260705001500_partner_test_record_boundary.sql,RP,BC,20260706062924:partner_test_record_boundary,Medium
20260705001600,partner_pillar_suggestions,supabase/migrations/20260705001600_partner_pillar_suggestions.sql,RP,BC,20260706063040:partner_pillar_suggestions,High: data-changing replay
20260705001700,sync_scout_pillar_to_partner,supabase/migrations/20260705001700_sync_scout_pillar_to_partner.sql,RP,BC,20260706063210:sync_scout_pillar_to_partner,High
20260706093000,partner_owner_self_service_security,supabase/migrations/20260706093000_partner_owner_self_service_security.sql,RP,BC,20260706100710:partner_owner_self_service_security,High
20260706122000,partner_profile_change_requests,supabase/migrations/20260706122000_partner_profile_change_requests.sql,RP,BC,20260706115730:partner_profile_change_requests,High
20260706143000,partner_media_manager,supabase/migrations/20260706143000_partner_media_manager.sql,RP,BC,20260706153232:partner_media_manager,High: includes storage DML
20260706160000,partner_community_offers,supabase/migrations/20260706160000_partner_community_offers.sql,RP,BC,20260706154713:partner_community_offers;20260706165403:community_offer_redemption_tables;20260706165528:community_offer_public_sync;20260706165649:issue_community_offer_redemption_rpc;20260706165749:confirm_community_offer_code_rpc;20260706165857:confirm_community_offer_outcome_rpc;20260706165958:community_offer_first_time_guard,High
20260707045848,partner_security_foundation,supabase/migrations/20260707045848_partner_security_foundation.sql,RP,BC,20260707092855:partner_security_foundation,High
20260707062836,supporter_entitlement_security,supabase/migrations/20260707062836_supporter_entitlement_security.sql,RP,BC,20260710030425:supporter_entitlement_security,High: existing supporter/payment schema required
20260710013500,fix_profile_entitlement_guard_current_user,supabase/migrations/20260710013500_fix_profile_entitlement_guard_current_user.sql,RP,BC,20260710030952:fix_profile_entitlement_guard_current_user,High: corrective-only
20260720093000,partner_multi_categories,supabase/migrations/20260720093000_partner_multi_categories.sql,RP,BC,20260720132527:partner_multi_categories,High: data-changing replay and security-sensitive function/view replacement; pre-existing partner schema required
20260720093100,partner_multi_categories_view_security_invoker,supabase/migrations/20260720093100_partner_multi_categories_view_security_invoker.sql,RP,BC,20260720132617:partner_multi_categories_view_security_invoker,High: security/grant behavior; depends on the preceding category migration and existing partner schema
20260810072829,wave1_partner_publication_consent,supabase/migrations/20260810072829_wave1_partner_publication_consent.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260811090000,hybrid_partner_lifecycle,supabase/migrations/20260811090000_hybrid_partner_lifecycle.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260811090100,hybrid_partner_claim_invite_qualification,supabase/migrations/20260811090100_hybrid_partner_claim_invite_qualification.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260811090200,hybrid_partner_private_mutation_capabilities,supabase/migrations/20260811090200_hybrid_partner_private_mutation_capabilities.sql,RP,BC,,High: security-sensitive forward candidate; live equivalence and complete zero-build safety are not proven
20260811090300,hybrid_partner_capability_gate_hardening,supabase/migrations/20260811090300_hybrid_partner_capability_gate_hardening.sql,RP,BC,,High: security-sensitive forward candidate; live equivalence and complete zero-build safety are not proven
20260811090400,hybrid_partner_owner_release_actor_cleanup,supabase/migrations/20260811090400_hybrid_partner_owner_release_actor_cleanup.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260811090500,hybrid_partner_agreement_evidence,supabase/migrations/20260811090500_hybrid_partner_agreement_evidence.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260811090600,hybrid_partner_context_authenticity,supabase/migrations/20260811090600_hybrid_partner_context_authenticity.sql,RP,BC,,High: security-sensitive forward candidate; live equivalence and complete zero-build safety are not proven
20260817154529,hybrid_partner_security_reconciliation,supabase/migrations/20260817154529_hybrid_partner_security_reconciliation.sql,RP,BC,,High: security-sensitive forward candidate; live equivalence and complete zero-build safety are not proven
20260817154927,hybrid_partner_claim_recipient_contract,supabase/migrations/20260817154927_hybrid_partner_claim_recipient_contract.sql,RP,BC,,High: review-only forward candidate; live equivalence and complete zero-build safety are not proven
20260817171238,partner_publication_integration_rc,supabase/migrations/20260817171238_partner_publication_integration_rc.sql,RP,BC,,"Critical: review-only integration candidate; live equivalence, complete zero-build safety, and Production safety are not proven"
